地域,子供人口,待機児童(平成28),就学前児童人口,公園数2017,病院数,犯罪件数,公害合計,買い物,飲食,面積,アクセス,子供人口密度,子供
葛飾区,21037,0.08848080133555926,0.4362227437176103,0.431496062992126,0.34615384615384615,0.5898145585386105,0.39171974522292996,0.0,0.014480552281528919,34.8,0.059368366741947315,0.44810294053470756,0.43979950176341676
板橋区,25515,0.31385642737896496,0.5372543267820475,0.4818897637795276,0.6923076923076923,0.5142540824799335,0.36624203821656054,0.18309488743951222,0.05724869506650945,32.22,0.19105464352122406,0.7138247344056392,0.5978572490925834
練馬区,34871,0.13856427378964942,0.7757895766109318,1.0,0.28846153846153844,0.4433988375311375,0.4713375796178344,0.4465600673258996,0.0,48.08,0.07347150939972076,0.6193427078810191,0.8096713539405096
江戸川区,34865,0.3313856427378965,0.778747433264887,0.6661417322834645,0.3269230769230769,0.2911707722114586,0.44904458598726116,0.19477172312223934,0.07863276645899987,49.9,0.0,0.5816614048697784,0.6239015685766214
足立区,31054,0.25542570951585974,0.6978586095629217,0.7307086614173228,1.0,0.33462496540271247,0.0,0.05112560488112811,0.013301902677218484,53.25,0.10990208873664616,0.4178453135957976,0.5742769875065602
荒川区,10005,0.13689482470784642,0.16524885108047327,0.09606299212598425,0.17307692307692307,0.9252698588430667,0.5031847133757962,0.07526825163055043,0.20020205421788168,10.16,0.7873534861044652,0.9872843030122964,0.5416736475691404
杉並区,24818,0.11352253756260434,0.518456047716828,0.43622047244094486,0.28846153846153844,0.658732355383338,0.8312101910828026,0.593625078897538,0.16383229499915813,34.06,0.14702318245551865,0.6241426433763038,0.5301815579086243
中野区,13006,0.21452420701168615,0.23303510315830644,0.231496062992126,0.07692307692307693,0.7135344588984224,1.0,0.4677046076162433,0.2763091429533593,15.59,0.26216670479030135,0.7738829771003396,0.5026895200462328
北区,14846,0.19365609348914858,0.27696294123398846,0.215748031496063,0.28846153846153844,0.6686963742042624,0.4840764331210191,0.21591626341258233,0.10944603468597436,20.61,0.3116320752932653,0.6123370058955115,0.4140425186957873
豊島区,10595,0.08764607679465776,0.1772025031778625,0.16220472440944883,0.19230769230769232,0.34043730971491837,0.697452229299363,0.48890174626551697,0.2798450917662909,13.01,0.7385708253537845,0.7456937147748675,0.45394921959215817
大田区,32441,0.1911519198664441,0.7147012809230469,0.7952755905511811,0.46153846153846156,0.29338499861610845,0.6910828025477707,0.4709131075110454,0.23337262165347675,60.83,0.20863691513578286,0.3471312967012136,0.5712034436261973
世田谷区,44314,1.0,1.0,0.8015748031496063,0.4423076923076923,0.12399667866039299,0.3980891719745223,0.7952345886808325,0.46152550934500725,58.05,0.2154451268130503,0.673378195975283,0.7374764995624447
文京区,11219,0.08180300500834725,0.18600273785078714,0.09921259842519685,0.09615384615384616,1.0,0.964968152866242,0.8146433831264466,0.5064825728237072,11.29,0.44436559352167343,1.0,0.5496062992125984
新宿区,12550,0.048414023372287146,0.22142368240930868,0.2047244094488189,0.19230769230769232,0.0,0.6114649681528662,0.6085630128340003,0.5654150530392319,18.22,0.6544661873538465,0.5676315798016415,0.38617799462523017
江東区,26987,0.23121869782971619,0.5832844431407059,0.4031496062992126,0.2692307692307692,0.5214503182950456,0.9235668789808917,0.41231853566168697,0.36235056406802485,40.16,0.22755705750302374,0.5437853281727282,0.4734674672359704
墨田区,11953,0.11185308848080133,0.2098367067566246,0.14803149606299212,0.17307692307692307,0.7207306947135345,0.15923566878980888,0.18614559225752225,0.21350395689510018,13.77,0.34538540178239946,0.8218035422944872,0.48491751917873965
台東区,7552,0.2003338898163606,0.10545614549721326,0.03779527559055118,0.07692307692307693,0.5721007473014116,0.39490445859872614,0.1733641910372406,0.4079811416063311,10.11,0.6029295124674648,0.6501321202139742,0.34396369790226267
品川区,19674,0.14858096828046743,0.39068152928522537,0.35590551181102364,0.23076923076923078,0.7204539164129532,0.678343949044586,0.4158952240690093,0.4588314531065836,22.84,0.4381094342216171,0.8123552909573113,0.5841304013841675
目黒区,12963,0.24958263772954925,0.2361885205827711,0.12283464566929134,0.09615384615384616,0.8314420149460282,0.678343949044586,0.9336734693877554,0.7976090250883983,14.67,0.15506618995867702,0.8439157457669343,0.4833751957181128
渋谷区,10347,0.2629382303839733,0.16762002542290017,0.12283464566929134,0.25,0.41212288956545806,0.8312101910828026,1.0,1.0,15.11,0.4317753176187331,0.5619236955815206,0.34237917062540596
千代田区,3364,0.0,0.0,0.0,0.21153846153846154,0.7099363409908663,0.5732484076433121,0.5915211445402904,0.7716787337935678,11.66,1.0,0.0,0.0
中央区,9674,0.21953255425709517,0.1425638017013787,0.06456692913385827,0.0,0.35012455023526157,0.7038216560509554,0.7638333683989057,0.9331537295841048,10.21,0.923223974575649,0.9344745192921382,0.49952072421299826
港区,15208,0.05342237061769616,0.2763518138261465,0.10551181102362205,0.15384615384615385,0.6069748131746471,0.19108280254777066,0.9228908058068592,0.973396194645563,20.37,0.6680077913502422,0.6495719058014418,0.3775418584125319
